people,change_pr_number,change_role_time,change_role,involved_pr_after_permission_change
Etsukata,556,2021-09-24 21:36:14,Reviewer,556#557#558#563
nchevsky,582,2021-10-07 15:51:21,Reviewer,582
pksnx,516,2021-08-18 18:32:31,Reviewer,516
rosslagerwall,742,2022-08-25 17:09:06,Reviewer,742
stefanberger,514,2021-08-06 19:12:35,Reviewer,514#516#524#554#570#582#611#612#620
stefanberger,396,2021-01-02 17:16:40,Maintainer,396#397#399#400#401#402#403#404#405#406#408#409#411#416#417#418#419#422#423#425#428#430#431
