trace_is_fit,trace_fitness,activated_transitions,reached_marking,enabled_transitions_in_marking,transitions_with_problems,missing_tokens,consumed_tokens,remaining_tokens,produced_tokens,pr_number,scene
False,0.8901098901098902,"[(hid_32, None), (OpenPR, 'OpenPR'), (hid_66, None), (hid_26, None), (Revise, 'Revise'), (ReviewComment, 'ReviewComment'), (hid_50, None), (ReviewApproved, 'ReviewApproved'), (hid_48, None), (Revise, 'Revise'), (MergePR, 'MergePR'), (hid_42, None)]","['intplace_Revise:2', 'sink0:1']","{(IssueComment, 'IssueComment'), (ReviewApproved, 'ReviewApproved'), (ReviewRejected, 'ReviewRejected'), (ReviewComment, 'ReviewComment'), (Revise, 'Revise')}","[(MergePR, 'MergePR')]",1,13,2,14,3381,fork_merge
False,0.9918032786885246,"[(hid_32, None), (OpenPR, 'OpenPR'), (hid_63, None), (IssueComment, 'IssueComment'), (hid_35, None), (IssueComment, 'IssueComment'), (hid_40, None), (Revise, 'Revise'), (hid_62, None), (Revise, 'Revise'), (hid_62, None), (Revise, 'Revise'), (hid_62, None), (Revise, 'Revise'), (hid_57, None), (IssueComment, 'IssueComment'), (hid_35, None), (IssueComment, 'IssueComment'), (hid_40, None), (Revise, 'Revise'), (hid_62, None), (Revise, 'Revise'), (hid_60, None), (ReviewComment, 'ReviewComment'), (hid_52, None), (Revise, 'Revise'), (hid_60, None), (ReviewComment, 'ReviewComment'), (hid_51, None), (ReviewComment, 'ReviewComment'), (hid_52, None), (Revise, 'Revise'), (hid_60, None), (ReviewComment, 'ReviewComment'), (hid_52, None), (Revise, 'Revise'), (hid_62, None), (Revise, 'Revise'), (hid_59, None), (ReviewApproved, 'ReviewApproved'), (hid_43, None), (IssueComment, 'IssueComment'), (hid_38, None), (ReviewComment, 'ReviewComment'), (hid_52, None), (Revise, 'Revise'), (hid_60, None), (ReviewComment, 'ReviewComment'), (hid_49, None), (IssueComment, 'IssueComment'), (hid_35, None), (IssueComment, 'IssueComment'), (hid_40, None), (Revise, 'Revise'), (hid_59, None), (ReviewApproved, 'ReviewApproved'), (hid_44, None), (MergePR, 'MergePR'), (DeleteBranch, 'DeleteBranch')]","['sink0:1', 'splace_in_Revise_1:1']","{(Revise, 'Revise')}",[],0,60,1,61,3384,fork_merge
False,0.8263888888888888,"[(hid_34, None), (SubmitCommit, 'SubmitCommit'), (hid_69, None), (OpenPR, 'OpenPR'), (hid_64, None), (MergePR, 'MergePR'), (hid_42, None)]","['pre_ReviewApproved:1', 'sink0:1', 'splace_in_MergePR_OpenPR_0:1']","{(ReviewApproved, 'ReviewApproved')}","[(MergePR, 'MergePR')]",1,8,2,9,3392,fork_merge
False,0.9041666666666667,"[(hid_34, None), (SubmitCommit, 'SubmitCommit'), (hid_69, None), (OpenPR, 'OpenPR'), (hid_63, None), (IssueComment, 'IssueComment'), (hid_40, None), (Revise, 'Revise'), (hid_62, None), (Revise, 'Revise'), (hid_62, None), (Revise, 'Revise'), (MergePR, 'MergePR'), (hid_42, None)]","['intplace_Revise:1', 'sink0:1', 'splace_in_Revise_1:1']","{(Revise, 'Revise'), (IssueComment, 'IssueComment'), (ReviewRejected, 'ReviewRejected'), (ReviewComment, 'ReviewComment'), (ReviewApproved, 'ReviewApproved')}","[(MergePR, 'MergePR')]",1,15,2,16,3394,fork_merge
False,0.8263888888888888,"[(hid_34, None), (SubmitCommit, 'SubmitCommit'), (hid_69, None), (OpenPR, 'OpenPR'), (hid_64, None), (MergePR, 'MergePR'), (hid_42, None)]","['pre_ReviewApproved:1', 'sink0:1', 'splace_in_MergePR_OpenPR_0:1']","{(ReviewApproved, 'ReviewApproved')}","[(MergePR, 'MergePR')]",1,8,2,9,3395,fork_merge
False,0.9041666666666667,"[(hid_34, None), (SubmitCommit, 'SubmitCommit'), (hid_69, None), (OpenPR, 'OpenPR'), (hid_63, None), (IssueComment, 'IssueComment'), (hid_35, None), (IssueComment, 'IssueComment'), (hid_37, None), (ReviewApproved, 'ReviewApproved'), (hid_43, None), (IssueComment, 'IssueComment'), (MergePR, 'MergePR'), (hid_42, None)]","['intplace_IssueComment:1', 'sink0:1', 'splace_in_Revise_1:1']","{(Revise, 'Revise'), (IssueComment, 'IssueComment'), (ReviewRejected, 'ReviewRejected'), (ReviewComment, 'ReviewComment'), (ReviewApproved, 'ReviewApproved')}","[(MergePR, 'MergePR')]",1,15,2,16,3398,fork_merge
False,0.8712121212121212,"[(hid_34, None), (SubmitCommit, 'SubmitCommit'), (hid_69, None), (OpenPR, 'OpenPR'), (hid_64, None), (ReviewApproved, 'ReviewApproved'), (hid_43, None), (IssueComment, 'IssueComment'), (MergePR, 'MergePR'), (hid_42, None)]","['intplace_IssueComment:1', 'sink0:1', 'splace_in_MergePR_OpenPR_0:1']","{(IssueComment, 'IssueComment'), (ReviewApproved, 'ReviewApproved'), (ReviewRejected, 'ReviewRejected'), (ReviewComment, 'ReviewComment'), (Revise, 'Revise')}","[(MergePR, 'MergePR')]",1,11,2,12,3399,fork_merge
False,0.9666666666666667,"[(hid_34, None), (SubmitCommit, 'SubmitCommit'), (hid_69, None), (OpenPR, 'OpenPR'), (hid_63, None), (IssueComment, 'IssueComment'), (hid_38, None), (ReviewComment, 'ReviewComment'), (hid_50, None), (ReviewApproved, 'ReviewApproved'), (hid_44, None), (MergePR, 'MergePR'), (hid_42, None)]","['sink0:1', 'splace_in_Revise_1:1']","{(Revise, 'Revise')}",[],0,14,1,15,3402,fork_merge
False,0.8263888888888888,"[(hid_34, None), (SubmitCommit, 'SubmitCommit'), (hid_69, None), (OpenPR, 'OpenPR'), (hid_64, None), (MergePR, 'MergePR'), (hid_42, None)]","['pre_ReviewApproved:1', 'sink0:1', 'splace_in_MergePR_OpenPR_0:1']","{(ReviewApproved, 'ReviewApproved')}","[(MergePR, 'MergePR')]",1,8,2,9,3403,fork_merge
False,0.9545454545454546,"[(hid_34, None), (SubmitCommit, 'SubmitCommit'), (hid_69, None), (OpenPR, 'OpenPR'), (hid_64, None), (ReviewApproved, 'ReviewApproved'), (hid_44, None), (MergePR, 'MergePR'), (hid_42, None)]","['sink0:1', 'splace_in_MergePR_OpenPR_0:1']",set(),[],0,10,1,11,3405,fork_merge
