people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,review_rate
chxmo,1,0.0,0.0,4.55,0.0,0.0
enjoy-binbin,5,0.0,1.0,91896.38,49009.041666666664,0.8
huangzhw,1,0.0,0.0,66.88333333333334,0.0,0.0
itamarhaber,13,1.0,1.6923076923076923,8301.911538461538,9958.393055555554,1.0
madolson,26,0.9230769230769231,1.7307692307692308,24672.6032051282,20636.49866666667,0.9230769230769231
oranagra,163,0.9141104294478528,1.50920245398773,19382.90746421268,2348.3020576131685,0.9447852760736196
soloestoy,1,1.0,1.0,852.2,0.0,1.0
sundb,3,0.0,0.0,18747.816666666666,48209.99166666667,0.0
yossigo,63,0.9047619047619048,1.3015873015873016,14012.98253968254,9750.048924731183,0.9365079365079365
