people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,review_rate
Gazler,4,0.5,0.75,173241.07916666666,263998.38888888893,0.25
aaronrenner,7,0.8571428571428571,0.8571428571428571,107420.65238095238,125512.15833333333,0.8571428571428571
chrismccord,13,0.6923076923076923,0.46153846153846156,30554.130769230767,11728.93472222222,0.23076923076923078
jeregrine,1,1.0,2.0,14250.183333333332,0.0,1.0
josevalim,32,0.875,0.375,10598.191145833334,4441.853763440859,0.34375
mcrumm,6,0.8333333333333334,0.5,17191.83888888889,32389.79666666667,0.5
