people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,review_rate
OrestChura,1,0.0,0.0,621141.5666666667,0.0,0.0
alalek,99,0.9393939393939394,1.3737373737373737,23976.625925925924,4232.902551020407,0.7575757575757576
asmorkalov,5,0.0,0.4,244186.24666666667,210707.89583333337,0.4
mshabunin,1,0.0,1.0,517.05,0.0,1.0
opencv-pushbot,164,1.0,0.8780487804878049,5046.322357723578,1305.035685071575,0.7012195121951219
rogday,2,0.0,0.5,130555.24166666667,128114.46666666666,0.5
savuor,1,0.0,1.0,180966.15,0.0,1.0
vpisarev,1,0.0,0.0,55924.833333333336,0.0,0.0
