people,pr_num,merge_rate,avg_assign_reviewer_num,avg_response_time,avg_response_interval,review_rate
bclozel,7,0.0,0.2857142857142857,115879.83333333333,151488.00277777776,0.2857142857142857
jhoeller,13,0.7692307692307693,0.07692307692307693,42872.687179487184,21494.837499999998,0.07692307692307693
philwebb,1,0.0,0.0,1397.9166666666667,0.0,0.0
poutsma,2,0.0,0.0,3038.55,120788.9,0.0
rstoyanchev,12,0.4166666666666667,0.25,3688.209722222222,10463.33787878788,0.08333333333333333
sbrannen,41,0.5853658536585366,0.04878048780487805,3450.814634146341,3497.3308333333334,0.04878048780487805
sdeleuze,5,0.0,0.2,117236.54,141493.27083333334,0.2
snicoll,8,0.0,0.0,46261.73541666667,68295.21904761904,0.0
wizard4wu,1,0.0,0.0,0.4166666666666667,0.0,0.0
